,Tarix,Mağaza,Kart_nomresi,Transaksiya_id,Məhsul_nomresi,Məhsul_adi,Məhsul sayi,Ümumi satış
76,43329,102,102115,102209,36,Kettle Chilli 175g,1,5.4
77,43329,104,104187,104862,71,Twisties Cheese     Burger 250g,1,4.3
78,43326,106,106050,107052,42,Doritos Corn Chip Mexican Jalapeno 150g,1,3.9
79,43328,106,106147,107633,89,Kettle Sweet Chilli And Sour Cream 175g,1,5.4
80,43602,109,109028,110346,8,Smiths Crinkle Cut  Chips Original 170g,1,2.9
81,43605,109,109028,110347,75,Cobs Popd Sea Salt  Chips 110g,2,7.6
82,43599,110,110013,111797,100,Smiths Crinkle Cut  Chips Chs&Onion170g,1,2.9
83,43600,111,111487,113669,107,Smiths Crinkle Cut  French OnionDip 150g,1,2.6
84,43330,112,112046,113969,89,Kettle Sweet Chilli And Sour Cream 175g,1,5.4
85,43603,114,114185,118043,24,Grain Waves         Sweet Chilli 210g,1,3.6
86,43604,115,115381,118981,29,French Fries Potato Chips 175g,1,3.0
87,43327,116,116184,120270,59,Old El Paso Salsa   Dip Tomato Med 300g,1,5.1
88,43332,118,118007,120727,30,Doritos Corn Chips  Cheese Supreme 170g,1,4.4
89,43601,119,119051,122366,81,Pringles Original   Crisps 134g,1,3.7
90,43604,119,119057,122403,36,Kettle Chilli 175g,1,5.4
91,43604,119,119282,123246,46,Kettle Original 175g,1,5.4
92,43603,120,120226,123743,67,RRD Chilli&         Coconut 150g,1,2.7
93,43330,122,122113,125310,42,Doritos Corn Chip Mexican Jalapeno 150g,1,3.9
94,43601,122,122185,125736,110,WW Original Corn    Chips 200g,2,3.8
95,43600,125,125251,129302,36,Kettle Chilli 175g,1,5.4
96,43326,128,128148,131503,51,Doritos Mexicana    170g,1,4.4
97,43328,128,128231,132121,28,Thins Potato Chips  Hot & Spicy 175g,1,3.3
98,43330,128,128231,132122,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1,3.8
99,43600,129,129134,133032,92,WW Crinkle Cut      Chicken 175g,2,3.4
100,43605,130,130108,134125,2,Cobs Popd Sour Crm  &Chives Chips 110g,5,19.0
101,43599,130,130356,135147,14,Smiths Crnkle Chip  Orgnl Big Bag 380g,2,11.8
102,43600,133,133250,137666,30,Doritos Corn Chips  Cheese Supreme 170g,4,17.6
103,43601,149,149225,148901,77,Doritos Corn Chips  Nacho Cheese 170g,1,4.4
104,43332,149,149317,149044,15,Twisties Cheese     270g,1,4.6
105,43327,151,151325,150030,17,Kettle Sensations   BBQ&Maple 150g,1,4.6
106,43604,151,151427,150128,46,Kettle Original 175g,1,5.4
107,43329,152,152042,150473,69,Smiths Chip Thinly  S/Cream&Onion 175g,3,9.0
108,43601,152,152117,150988,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1,3.8
109,43605,153,153106,152359,30,Doritos Corn Chips  Cheese Supreme 170g,3,13.2
110,43327,153,153220,152829,113,Twisties Chicken270g,2,9.2
111,43602,156,156236,158227,83,WW D/Style Chip     Sea Salt 200g,1,1.9
112,43603,156,156236,158228,110,WW Original Corn    Chips 200g,2,3.8
113,43329,157,157123,159188,68,Pringles Chicken    Salt Crips 134g,1,3.7
114,43328,157,157185,159562,59,Old El Paso Salsa   Dip Tomato Med 300g,2,10.2
115,43331,160,160136,160968,82,Smith Crinkle Cut   Mac N Cheese 150g,5,13.0
116,43327,160,160153,161091,70,Tyrrells Crisps     Lightly Salted 165g,1,4.2
117,43601,161,161280,161813,45,Smiths Thinly Cut   Roast Chicken 175g,1,3.0
118,43604,164,164183,164919,67,RRD Chilli&         Coconut 150g,1,2.7
119,43327,166,166235,168185,44,Thins Chips Light&  Tangy 175g,1,3.3
120,43327,166,166251,168260,104,Infuzions Thai SweetChili PotatoMix 110g,1,3.8
121,43605,166,166261,168302,42,Doritos Corn Chip Mexican Jalapeno 150g,2,7.8
122,43603,167,167405,169222,96,WW Original Stacked Chips 160g,2,3.8
123,43602,168,168213,170687,93,Doritos Corn Chip Southern Chicken 150g,2,7.8
124,43602,168,168219,170719,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,4,15.2
125,43332,169,169267,171363,61,Smiths Crinkle Cut  Chips Chicken 170g,2,5.8
126,43331,172,172006,172766,32,Kettle Sea Salt     And Vinegar 175g,1,5.4
127,43331,172,172068,173162,79,Smiths Chip Thinly  CutSalt/Vinegr175g,1,3.0
128,43605,172,172068,173166,23,Cheezels Cheese 330g,2,11.4
129,43327,173,173154,174550,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2
130,43330,173,173154,174551,15,Twisties Cheese     270g,1,4.6
131,43331,175,175306,176634,59,Old El Paso Salsa   Dip Tomato Med 300g,1,5.1
132,43326,178,178036,177775,50,Tostitos Lightly    Salted 175g,1,4.4
133,43603,178,178093,178134,114,Kettle Sensations   Siracha Lime 150g,2,9.2
134,43329,181,181265,183665,44,Thins Chips Light&  Tangy 175g,2,6.6
135,43328,184,184229,187762,42,Doritos Corn Chip Mexican Jalapeno 150g,1,3.9
136,43599,186,186188,188585,78,Thins Chips Salt &  Vinegar 175g,1,3.3
137,43332,186,186401,188768,1,Smiths Crinkle Cut  Chips Barbecue 170g,5,14.5
138,43602,187,187144,189046,32,Kettle Sea Salt     And Vinegar 175g,1,5.4
139,43329,191,191094,192335,86,Cheetos Puffs 165g,2,5.6
140,43328,191,191200,192940,53,RRD Sweet Chilli &  Sour Cream 165g,1,3.0
141,43601,191,191200,192945,36,Kettle Chilli 175g,1,5.4
142,43604,194,194066,193560,36,Kettle Chilli 175g,2,10.8
143,43332,194,194161,193938,93,Doritos Corn Chip Southern Chicken 150g,1,3.9
144,43326,196,196121,196172,100,Smiths Crinkle Cut  Chips Chs&Onion170g,2,5.8
145,43600,197,197172,197097,72,WW Crinkle Cut      Original 175g,1,1.7
146,43330,200,200162,199522,114,Kettle Sensations   Siracha Lime 150g,1,4.6
147,43328,205,205151,204218,74,Tostitos Splash Of  Lime 175g,1,4.4
148,43600,205,205151,204219,82,Smith Crinkle Cut   Mac N Cheese 150g,3,7.8
149,43602,207,207007,204633,107,Smiths Crinkle Cut  French OnionDip 150g,4,10.4
150,43604,207,207091,205119,44,Thins Chips Light&  Tangy 175g,1,3.3
151,43330,207,207182,205682,7,Smiths Crinkle      Original 330g,2,11.4
152,43602,208,208081,206568,61,Smiths Crinkle Cut  Chips Chicken 170g,1,2.9
153,43602,208,208139,206906,63,Kettle 135g Swt Pot Sea Salt,1,4.2
154,43605,209,209180,208512,54,CCs Original 175g,1,2.1
155,43604,212,212194,211539,25,Pringles SourCream  Onion 134g,1,3.7
156,43603,212,212201,211570,81,Pringles Original   Crisps 134g,1,3.7
157,43599,212,212203,211586,4,Dorito Corn Chp     Supreme 380g,1,3.25
158,43330,214,214277,213883,76,Woolworths Medium   Salsa 300g,1,1.5
159,43329,215,215129,214343,17,Kettle Sensations   BBQ&Maple 150g,1,4.6
160,43601,216,216104,215132,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,1,4.6
161,43329,217,217168,217061,113,Twisties Chicken270g,1,4.6
162,43603,219,219065,218396,15,Twisties Cheese     270g,1,4.6
163,43329,222,222079,221942,71,Twisties Cheese     Burger 250g,1,4.3
164,43331,222,222209,222689,91,CCs Tasty Cheese    175g,1,2.1
165,43602,222,222209,222693,40,Thins Chips Seasonedchicken 175g,5,16.5
166,43331,223,223062,223280,105,Woolworths Cheese   Rings 190g,1,1.8
167,43329,223,223130,223702,82,Smith Crinkle Cut   Mac N Cheese 150g,1,2.6
168,43326,225,225242,226134,22,Thins Chips         Originl saltd 175g,1,3.3
169,43600,226,226133,226926,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,1,4.6
170,43329,227,227220,229580,25,Pringles SourCream  Onion 134g,1,3.7
171,43326,235,235158,238107,90,Tostitos Smoked     Chipotle 175g,1,4.4
172,43328,236,236216,239853,36,Kettle Chilli 175g,2,10.8
173,43604,236,236247,240056,92,WW Crinkle Cut      Chicken 175g,1,1.7
174,43332,237,237227,241132,63,Kettle 135g Swt Pot Sea Salt,2,8.4
175,43328,237,237293,241451,31,Infzns Crn Crnchers Tangy Gcamole 110g,1,3.8
176,43330,241,241222,245795,82,Smith Crinkle Cut   Mac N Cheese 150g,2,5.2
177,43602,243,243070,246706,63,Kettle 135g Swt Pot Sea Salt,1,4.2
178,43605,243,243342,247082,65,Old El Paso Salsa   Dip Chnky Tom Ht300g,1,5.1
179,43603,246,246078,248026,109,Pringles Barbeque   134g,1,3.7
180,43600,246,246266,248373,31,Infzns Crn Crnchers Tangy Gcamole 110g,1,3.8
181,43605,247,247223,250007,24,Grain Waves         Sweet Chilli 210g,1,3.6
182,43329,248,248409,250717,27,WW Supreme Cheese   Corn Chips 200g,3,5.7
183,43602,250,250314,252753,68,Pringles Chicken    Salt Crips 134g,1,3.7
184,43604,253,253032,253575,47,Doritos Corn Chips  Original 170g,1,4.4
185,43604,253,253295,253972,47,Doritos Corn Chips  Original 170g,3,13.2
186,43603,255,255206,254774,81,Pringles Original   Crisps 134g,1,3.7
187,43331,256,256041,255158,94,Burger Rings 220g,2,4.6
188,43604,257,257121,256483,14,Smiths Crnkle Chip  Orgnl Big Bag 380g,1,5.9
189,43331,257,257168,256776,64,Red Rock Deli SR    Salsa & Mzzrlla 150g,2,5.4
190,43603,257,257241,257214,39,Smiths Crinkle Cut  Tomato Salsa 150g,1,2.6
191,43329,257,257258,257308,114,Kettle Sensations   Siracha Lime 150g,4,18.4
192,43330,262,262034,261509,62,Pringles Mystery    Flavour 134g,1,3.7
193,43331,262,262126,262025,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,4,18.4
194,43331,262,262237,262645,77,Doritos Corn Chips  Nacho Cheese 170g,2,8.8
195,43601,265,265087,263394,70,Tyrrells Crisps     Lightly Salted 165g,1,4.2
196,43332,265,265282,263626,100,Smiths Crinkle Cut  Chips Chs&Onion170g,1,2.9
197,43599,266,266376,264212,109,Pringles Barbeque   134g,1,3.7
198,43328,269,269153,265956,45,Smiths Thinly Cut   Roast Chicken 175g,1,3.0
199,43330,269,269175,266095,4,Dorito Corn Chp     Supreme 380g,2,6.5
200,43604,269,269221,266380,62,Pringles Mystery    Flavour 134g,5,18.5
201,43605,271,271017,268321,112,Tyrrells Crisps     Ched & Chives 165g,1,4.2
202,43633,77,77069,74987,70,Tyrrells Crisps     Lightly Salted 165g,2,8.4
203,43348,1,1052,57,44,Thins Chips Light&  Tangy 175g,1,3.3
204,43370,1,1081,92,17,Kettle Sensations   BBQ&Maple 150g,1,4.6
205,43523,1,1081,93,96,WW Original Stacked Chips 160g,2,3.8
206,43543,1,1081,94,8,Smiths Crinkle Cut  Chips Original 170g,1,2.9
207,43632,1,1081,95,57,Old El Paso Salsa   Dip Tomato Mild 300g,1,5.1
208,43429,1,1184,216,2,Cobs Popd Sour Crm  &Chives Chips 110g,1,3.8
209,43414,1,1307,346,96,WW Original Stacked Chips 160g,2,3.8
210,43533,1,1307,347,54,CCs Original 175g,1,2.1
211,43405,1,1348,390,28,Thins Potato Chips  Hot & Spicy 175g,1,3.3
212,43537,1,1348,391,48,Red Rock Deli Sp    Salt & Truffle 150G,1,2.7
213,43561,1,1395,453,61,Smiths Crinkle Cut  Chips Chicken 170g,2,5.8
214,43311,1,1411,475,12,Natural Chip Co     Tmato Hrb&Spce 175g,1,3.0
215,43391,1,1411,476,92,WW Crinkle Cut      Chicken 175g,1,1.7
216,43409,1,1411,477,36,Kettle Chilli 175g,1,5.4
217,43528,1,1411,478,30,Doritos Corn Chips  Cheese Supreme 170g,1,4.4
218,43535,1,1475,557,23,Cheezels Cheese 330g,1,5.7
219,43576,1,1491,577,113,Twisties Chicken270g,1,4.6
220,43468,1,1495,580,107,Smiths Crinkle Cut  French OnionDip 150g,1,2.6
221,43366,2,2203,805,28,Thins Potato Chips  Hot & Spicy 175g,1,3.3
222,43624,2,2203,806,64,Red Rock Deli SR    Salsa & Mzzrlla 150g,1,2.7
223,43313,2,2256,865,39,Smiths Crinkle Cut  Tomato Salsa 150g,1,2.6
224,43448,2,2256,866,55,Snbts Whlgrn Crisps Cheddr&Mstrd 90g,1,1.7
225,43587,2,2256,867,24,Grain Waves         Sweet Chilli 210g,1,3.6
226,43474,2,2386,996,56,Cheezels Cheese Box 125g,1,2.1
227,43566,2,2386,997,68,Pringles Chicken    Salt Crips 134g,1,3.7
228,43529,2,2389,999,18,Cheetos Chs & Bacon Balls 190g,1,3.3
229,43369,2,2438,1053,16,Smiths Crinkle Chips Salt & Vinegar 330g,1,5.7
230,43554,2,2438,1054,96,WW Original Stacked Chips 160g,2,3.8
231,43519,2,2444,1057,99,Pringles Sthrn FriedChicken 134g,1,3.7
232,43451,2,2454,1071,34,Pringles Slt Vingar 134g,1,3.7
233,43564,2,2454,1072,39,Smiths Crinkle Cut  Tomato Salsa 150g,1,2.6
234,43563,2,2481,1092,106,Natural ChipCo      Hony Soy Chckn175g,1,3.0
235,43382,3,3164,1778,23,Cheezels Cheese 330g,2,11.4
236,43407,3,3164,1779,4,Dorito Corn Chp     Supreme 380g,2,13.0
237,43489,3,3164,1780,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2
238,43510,3,3164,1781,31,Infzns Crn Crnchers Tangy Gcamole 110g,2,7.6
239,43627,3,3164,1782,36,Kettle Chilli 175g,2,10.8
240,43284,3,3167,1792,81,Pringles Original   Crisps 134g,2,7.4
241,43299,3,3167,1793,75,Cobs Popd Sea Salt  Chips 110g,2,7.6
242,43309,3,3167,1794,40,Thins Chips Seasonedchicken 175g,2,6.6
243,43552,3,3167,1795,24,Grain Waves         Sweet Chilli 210g,2,7.2
244,43593,3,3167,1796,23,Cheezels Cheese 330g,2,11.4
245,43611,3,3167,1797,114,Kettle Sensations   Siracha Lime 150g,2,9.2
246,43526,3,3326,2481,44,Thins Chips Light&  Tangy 175g,2,6.6
247,43578,3,3326,2482,102,Kettle Mozzarella   Basil & Pesto 175g,2,10.8
248,43584,3,3326,2483,102,Kettle Mozzarella   Basil & Pesto 175g,2,10.8
249,43627,3,3326,2484,40,Thins Chips Seasonedchicken 175g,2,6.6
250,43357,3,3349,2569,89,Kettle Sweet Chilli And Sour Cream 175g,1,5.4
251,43494,3,3349,2571,88,Kettle Honey Soy    Chicken 175g,2,10.8
252,43547,3,3349,2572,25,Pringles SourCream  Onion 134g,2,7.4
253,43550,3,3349,2573,75,Cobs Popd Sea Salt  Chips 110g,1,3.8
254,43318,4,4016,2713,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6
255,43467,4,4016,2714,50,Tostitos Lightly    Salted 175g,2,8.8
256,43555,4,4016,2715,49,Infuzions SourCream&Herbs Veg Strws 110g,2,7.6
257,43294,4,4072,2965,17,Kettle Sensations   BBQ&Maple 150g,2,9.2
258,43386,4,4072,2966,75,Cobs Popd Sea Salt  Chips 110g,2,7.6
259,43496,4,4072,2968,14,Smiths Crnkle Chip  Orgnl Big Bag 380g,2,11.8
260,43504,4,4072,2969,3,Kettle Sensations   Camembert & Fig 150g,2,9.2
261,43520,4,4072,2970,87,Infuzions BBQ Rib   Prawn Crackers 110g,2,7.6
262,43583,4,4072,2971,25,Pringles SourCream  Onion 134g,1,3.7
263,43318,4,4074,2978,70,Tyrrells Crisps     Lightly Salted 165g,2,8.4
264,43321,4,4074,2979,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2
265,43446,4,4074,2980,4,Dorito Corn Chp     Supreme 380g,2,13.0
266,43529,4,4074,2981,51,Doritos Mexicana    170g,2,8.8
267,43382,4,4106,3135,78,Thins Chips Salt &  Vinegar 175g,2,6.6
268,43568,4,4106,3136,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6
269,43643,4,4106,3137,78,Thins Chips Salt &  Vinegar 175g,2,6.6
270,43646,4,4106,3138,113,Twisties Chicken270g,2,9.2
271,43287,4,4149,3330,46,Kettle Original 175g,2,10.8
272,43299,4,4149,3331,112,Tyrrells Crisps     Ched & Chives 165g,2,8.4
273,43562,4,4149,3332,87,Infuzions BBQ Rib   Prawn Crackers 110g,2,7.6
274,43423,4,4196,3536,59,Old El Paso Salsa   Dip Tomato Med 300g,2,10.2
275,43434,4,4196,3537,93,Doritos Corn Chip Southern Chicken 150g,2,7.8
276,43479,4,4196,3538,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2
277,43646,4,4196,3540,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6
278,43333,4,4363,4282,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6
279,43508,4,4363,4283,65,Old El Paso Salsa   Dip Chnky Tom Ht300g,2,10.2
280,43547,4,4363,4284,40,Thins Chips Seasonedchicken 175g,2,6.6
281,43587,4,4363,4285,57,Old El Paso Salsa   Dip Tomato Mild 300g,2,10.2
282,43634,4,4363,4286,15,Twisties Cheese     270g,2,9.2
283,43646,4,4363,4287,87,Infuzions BBQ Rib   Prawn Crackers 110g,2,7.6
284,43436,4,4371,4315,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2
285,43458,4,4371,4316,78,Thins Chips Salt &  Vinegar 175g,2,6.6
286,43528,4,4371,4317,60,Kettle Tortilla ChpsFeta&Garlic 150g,2,9.2
287,43463,5,5015,4450,104,Infuzions Thai SweetChili PotatoMix 110g,2,7.6
288,43520,5,5015,4451,109,Pringles Barbeque   134g,2,7.4
289,43579,5,5015,4452,81,Pringles Original   Crisps 134g,2,7.4
290,43620,5,5015,4453,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,2,9.2
291,43622,5,5015,4454,45,Smiths Thinly Cut   Roast Chicken 175g,2,6.0
292,43345,5,5018,4465,52,Grain Waves Sour    Cream&Chives 210G,2,7.2
293,43361,5,5018,4466,66,CCs Nacho Cheese    175g,2,4.2
294,43482,5,5018,4467,53,RRD Sweet Chilli &  Sour Cream 165g,2,6.0
295,43617,5,5018,4468,91,CCs Tasty Cheese    175g,2,4.2
296,43625,5,5018,4469,57,Old El Paso Salsa   Dip Tomato Mild 300g,2,10.2
297,43288,5,5026,4524,13,Red Rock Deli Thai  Chilli&Lime 150g,2,5.4
298,43352,5,5026,4526,84,GrnWves Plus Btroot & Chilli Jam 180g,2,6.2
299,43360,5,5026,4527,83,WW D/Style Chip     Sea Salt 200g,2,3.8
300,43404,5,5026,4528,44,Thins Chips Light&  Tangy 175g,2,6.6
301,43290,5,5028,4534,84,GrnWves Plus Btroot & Chilli Jam 180g,2,6.2
302,43323,5,5028,4535,67,RRD Chilli&         Coconut 150g,2,5.4
303,43363,5,5028,4536,94,Burger Rings 220g,2,4.6
304,43399,5,5028,4537,114,Kettle Sensations   Siracha Lime 150g,2,9.2
305,43402,5,5028,4538,109,Pringles Barbeque   134g,2,7.4
306,43547,5,5028,4539,92,WW Crinkle Cut      Chicken 175g,2,3.4
307,43551,5,5028,4540,59,Old El Paso Salsa   Dip Tomato Med 300g,2,10.2
308,43556,5,5028,4541,82,Smith Crinkle Cut   Mac N Cheese 150g,2,5.2
309,43561,5,5028,4542,66,CCs Nacho Cheese    175g,2,4.2
310,43365,5,5050,4663,101,Doritos Salsa       Medium 300g,2,5.2
311,43367,5,5050,4664,4,Dorito Corn Chp     Supreme 380g,2,13.0
312,43405,5,5050,4665,109,Pringles Barbeque   134g,2,7.4
313,43423,5,5050,4666,18,Cheetos Chs & Bacon Balls 190g,2,6.6
314,43439,5,5050,4667,5,Natural Chip        Compny SeaSalt175g,2,6.0
315,43518,5,5050,4669,12,Natural Chip Co     Tmato Hrb&Spce 175g,2,6.0
316,43533,5,5050,4670,67,RRD Chilli&         Coconut 150g,2,5.4
317,43554,5,5050,4671,64,Red Rock Deli SR    Salsa & Mzzrlla 150g,2,5.4
318,43627,5,5050,4672,61,Smiths Crinkle Cut  Chips Chicken 170g,2,5.8
319,43539,5,5091,4905,38,Infuzions Mango     Chutny Papadums 70g,2,4.8
320,43639,5,5091,4906,100,Smiths Crinkle Cut  Chips Chs&Onion170g,2,5.8
321,43292,5,5115,5031,103,RRD Steak &         Chimuchurri 150g,2,5.4
322,43395,5,5115,5032,107,Smiths Crinkle Cut  French OnionDip 150g,2,5.2
323,43450,5,5115,5033,107,Smiths Crinkle Cut  French OnionDip 150g,2,5.2
324,43462,5,5115,5034,90,Tostitos Smoked     Chipotle 175g,2,8.8
325,43503,5,5115,5035,85,RRD Honey Soy       Chicken 165g,2,6.0
326,43568,5,5115,5036,83,WW D/Style Chip     Sea Salt 200g,2,3.8
327,43336,5,5136,5172,69,Smiths Chip Thinly  S/Cream&Onion 175g,2,6.0
328,43375,5,5136,5173,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,2,7.6
329,43381,5,5136,5174,14,Smiths Crnkle Chip  Orgnl Big Bag 380g,2,11.8
330,43436,5,5136,5175,50,Tostitos Lightly    Salted 175g,2,8.8
331,43448,5,5136,5176,48,Red Rock Deli Sp    Salt & Truffle 150G,2,5.4
332,43534,5,5136,5177,66,CCs Nacho Cheese    175g,2,4.2
333,43644,5,5136,5178,95,Sunbites Whlegrn    Crisps Frch/Onin 90g,2,3.4
334,43295,6,6005,5768,68,Pringles Chicken    Salt Crips 134g,1,3.7
335,43423,6,6005,5769,54,CCs Original 175g,2,4.2
336,43632,6,6005,5770,97,RRD Salt & Vinegar  165g,1,3.0
